account_id,hotel_name,decision_status,groundedness_check,uncertainty_check,explainability_check,generic_fluff_check,outreach_check,subject_line,ranking_refresh_reason,review_queue_reason_codes
acc_5970be661818,Jonah’s Restaurant & Boutique Hotel,manual_review,pass,pass,pass,pass,review,Jonah’s Restaurant & Boutique Hotel: krátky postreh k prevádzkovým info,commercial_verdict:zaujímavý prospect | ownership:raw_confirmed | review_signal:strong | factual_completeness:0 | opening_hours_missing | checkin_missing | room_count_missing | uncertainty_notes:3 | ambiguous_hook,low_factual_completeness | ambiguous_commercial_hook
acc_9f2cb7250cf5,Miramare Gardens,manual_review,pass,pass,pass,pass,review,Miramare Gardens: krátky postreh k prevádzkovým info,commercial_verdict:zaujímavý prospect | ownership:public_confirmed | factual_completeness:1 | checkin_missing | room_count_missing | uncertainty_notes:3,low_factual_completeness
acc_462634ba1b0d,The Hornsby Inn,outreach_now,pass,pass,pass,pass,pass,The Hornsby Inn: krátky postreh k event dopytu,commercial_verdict:zaujímavý prospect | ownership:raw_confirmed | factual_completeness:2 | checkin_missing | uncertainty_notes:3,
acc_d7e3595aefb6,Billabong Retreat,manual_review,pass,pass,pass,pass,pass,Billabong Retreat: krátky postreh k prevádzkovým info,commercial_verdict:zaujímavý prospect | ownership:public_confirmed | factual_completeness:1 | review_signal:strong | opening_hours_missing | room_count_missing | uncertainty_notes:4,low_factual_completeness | high_uncertainty
acc_50ce289c9223,Spicers Sangoma Retreat,manual_review,pass,pass,pass,pass,review,Spicers Sangoma Retreat: krátky postreh k prevádzkovým info,commercial_verdict:zaujímavý prospect | ownership:raw_confirmed | review_signal:strong | factual_completeness:0 | opening_hours_missing | checkin_missing | room_count_missing | uncertainty_notes:3 | ambiguous_hook,low_factual_completeness | ambiguous_commercial_hook
