issue_type,severity,blocking,hotel_name,city,priority_band,details,source_file
unverified_checkin_checkout,Low,no,Areál vodných športov Čunovo,Čunovo,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,AC Hotel Bratislava Old Town,Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,Park Inn by Radisson Danube Bratislava,Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,WX Hotel,Devínska Nová Ves,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,HOTEL BRATISLAVA,Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,Hotel Gracia Bratislava,Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,BAROK Hotel a Apartmany,Bratislava-Petržalka,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,SKARITZ Hotel & Residence,Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,YACHTER CLUB Modrá Čajka,Čunovo,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,LILAWADI - Wellness & Spa,Karlova Ves,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,Apollo Hotel,Ružinov,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,Dunajský Pivovar,Bratislava-Petržalka,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,Penzion Zlatá Noha,Nové Mesto,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,Cabin Devín,Cabin-Devín,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,William's apartments s.r.o,Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,"Grand Hotel River Park, a Luxury Collection Hotel",Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,Sheraton Bratislava,Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,HOTEL DEVÍN,Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,DoubleTree by Hilton Bratislava,Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,FanatiX Squash & Fitness Center,Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,Hotel Color,Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,Hotel Divoká voda,Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,RAJ zdravia,Nové Mesto,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,Aston Business hotel,Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,Saunička,Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,Hotel Hradná brána,Devín,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,AUROOM - Spa Moments,Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,Penzión Carpatia,Záhorská Bystrica-Poľný mlyn,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
single_side_verified_checkin_checkout,High,yes,CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava,Bratislava,High,Check-in / check-out je overený len jednostranne; odporúčaný ručný spot-check.,raw_bratislava region_2026-04-01_21-01-58-857.csv
single_side_verified_checkin_checkout,High,yes,Melrose Apartments,Petržalka,High,Check-in / check-out je overený len jednostranne; odporúčaný ručný spot-check.,raw_bratislava region_2026-04-01_21-01-58-857.csv
