issue_type,severity,blocking,hotel_name,city,priority_band,details,source_file
unverified_opening_hours,Low,no,Elysium Spa,Staré Mesto,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Boutique Apartments Possonium,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Penzion Helios,Devínska Nová Ves,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,The Spa - Luxury thai massage & Spa,Petržalka,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Marrol's Boutique Hotel,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,ARCADIA BOUTIQUE HOTEL,Staré Mesto,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Centrum Salvator,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Hotel Avance,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Lindner Hotel Bratislava - JDV by Hyatt,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Hotel Matyšák,Staré Mesto,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Hotel NH Bratislava Gate One,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
